"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 10:48:49 GMT 2024","Fri Jul 19 10:48:50 GMT 2024","910","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:55 GMT 2024","Fri Jul 19 10:48:55 GMT 2024","153","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:46 GMT 2024","Fri Jul 19 10:48:48 GMT 2024","1628","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:46 GMT 2024","Fri Jul 19 10:48:46 GMT 2024","157","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:51 GMT 2024","Fri Jul 19 10:48:51 GMT 2024","154","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:59 GMT 2024","Fri Jul 19 10:49:00 GMT 2024","894","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:56 GMT 2024","Fri Jul 19 10:48:57 GMT 2024","1632","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:54 GMT 2024","Fri Jul 19 10:48:55 GMT 2024","901","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:53 GMT 2024","Fri Jul 19 10:48:54 GMT 2024","897","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:45 GMT 2024","Fri Jul 19 10:48:45 GMT 2024","908","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:49:00 GMT 2024","Fri Jul 19 10:49:00 GMT 2024","153","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:51 GMT 2024","Fri Jul 19 10:48:53 GMT 2024","1623","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:48 GMT 2024","Fri Jul 19 10:48:49 GMT 2024","904","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:58 GMT 2024","Fri Jul 19 10:48:58 GMT 2024","894","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:43 GMT 2024","Fri Jul 19 10:48:44 GMT 2024","908","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:48:41 GMT 2024","Fri Jul 19 10:48:43 GMT 2024","1914","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
