"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 09:54:59 GMT 2024","Fri Jul 19 09:55:00 GMT 2024","1648","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:54:58 GMT 2024","Fri Jul 19 09:54:58 GMT 2024","158","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:01 GMT 2024","Fri Jul 19 09:55:02 GMT 2024","910","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:11 GMT 2024","Fri Jul 19 09:55:12 GMT 2024","900","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:02 GMT 2024","Fri Jul 19 09:55:03 GMT 2024","913","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:08 GMT 2024","Fri Jul 19 09:55:08 GMT 2024","156","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:05 GMT 2024","Fri Jul 19 09:55:06 GMT 2024","901","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:10 GMT 2024","Fri Jul 19 09:55:11 GMT 2024","893","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:12 GMT 2024","Fri Jul 19 09:55:13 GMT 2024","148","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:54:53 GMT 2024","Fri Jul 19 09:54:55 GMT 2024","2556","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:54:56 GMT 2024","Fri Jul 19 09:54:57 GMT 2024","917","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:03 GMT 2024","Fri Jul 19 09:55:03 GMT 2024","163","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:08 GMT 2024","Fri Jul 19 09:55:10 GMT 2024","1617","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:03 GMT 2024","Fri Jul 19 09:55:05 GMT 2024","1633","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:54:57 GMT 2024","Fri Jul 19 09:54:58 GMT 2024","914","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:55:07 GMT 2024","Fri Jul 19 09:55:07 GMT 2024","896","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
