"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 09:46:50 GMT 2024","Fri Jul 19 09:46:51 GMT 2024","908","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:00 GMT 2024","Fri Jul 19 09:47:01 GMT 2024","910","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:49 GMT 2024","Fri Jul 19 09:46:50 GMT 2024","903","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:03 GMT 2024","Fri Jul 19 09:47:04 GMT 2024","890","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:02 GMT 2024","Fri Jul 19 09:47:03 GMT 2024","1634","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:57 GMT 2024","Fri Jul 19 09:46:58 GMT 2024","1631","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:06 GMT 2024","Fri Jul 19 09:47:06 GMT 2024","151","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:01 GMT 2024","Fri Jul 19 09:47:01 GMT 2024","161","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:56 GMT 2024","Fri Jul 19 09:46:57 GMT 2024","153","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:59 GMT 2024","Fri Jul 19 09:47:00 GMT 2024","901","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:47:05 GMT 2024","Fri Jul 19 09:47:06 GMT 2024","890","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:52 GMT 2024","Fri Jul 19 09:46:54 GMT 2024","1639","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:54 GMT 2024","Fri Jul 19 09:46:55 GMT 2024","897","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:47 GMT 2024","Fri Jul 19 09:46:49 GMT 2024","1932","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:52 GMT 2024","Fri Jul 19 09:46:52 GMT 2024","155","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 09:46:55 GMT 2024","Fri Jul 19 09:46:56 GMT 2024","908","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
